File,ChangeType,FileHuman,WorkingDir,PrevName,severity,severityIcon
cleanDataServices/DataCloudGeoLocation.cleanDataService-meta.xml," ",CleanDataService DataCloudGeoLocation,M,,log,📰
datacategorygroups/Global_Categories.datacategorygroup-meta.xml," ",DataCategoryGroup Global_Categories,M,,log,📰
messagingChannels/Login_Help.messagingChannel-meta.xml," ",MessagingChannel Login_Help,M,,log,📰
messagingChannels/Omni_Messaging.messagingChannel-meta.xml," ",MessagingChannel Omni_Messaging,M,,log,📰
messagingChannels/Sales_Chat.messagingChannel-meta.xml," ",MessagingChannel Sales_Chat,M,,log,📰
siteDotComSites/Help_Center1.site," ",SiteDotCom Help_Center1,M,,log,📰
siteDotComSites/Paradigm_Help_Center1.site," ",SiteDotCom Paradigm_Help_Center1,M,,log,📰
siteDotComSites/Simply_Help_Center1.site," ",SiteDotCom Simply_Help_Center1,M,,log,📰
siteDotComSites/Ubiquity_Help_Center1.site," ",SiteDotCom Ubiquity_Help_Center1,M,,log,📰
wave/API.wdash," ",VirtualWave API.wdash,M,,log,📰
wave/Apex_Executions.wdash," ",VirtualWave Apex_Executions.wdash,M,,log,📰
wave/Dashboards.wdash," ",VirtualWave Dashboards.wdash,M,,log,📰
wave/Files.wdash," ",VirtualWave Files.wdash,M,,log,📰
wave/Lightning_Adoption.wdash," ",VirtualWave Lightning_Adoption.wdash,M,,log,📰
wave/Lightning_Performance.wdash," ",VirtualWave Lightning_Performance.wdash,M,,log,📰
wave/Login_As.wdash," ",VirtualWave Login_As.wdash,M,,log,📰
wave/My_Trust.wdash," ",VirtualWave My_Trust.wdash,M,,log,📰
wave/Page_Views_URIs.wdash," ",VirtualWave Page_Views_URIs.wdash,M,,log,📰
wave/Report_Downloads.wdash," ",VirtualWave Report_Downloads.wdash,M,,log,📰
wave/Reports.wdash," ",VirtualWave Reports.wdash,M,,log,📰
wave/RestAPI.wdash," ",VirtualWave RestAPI.wdash,M,,log,📰
wave/Setup_Audit_Trail.wdash," ",VirtualWave Setup_Audit_Trail.wdash,M,,log,📰
wave/User_Logins.wdash," ",VirtualWave User_Logins.wdash,M,,log,📰
wave/Visualforce_Requests.wdash," ",VirtualWave Visualforce_Requests.wdash,M,,log,📰
wave/Wave_Adoption.wdash," ",VirtualWave Wave_Adoption.wdash,M,,log,📰
